700H	MSR_PMON_GLOBAL_CTL
701H	MSR_PMON_GLOBAL_STATUS
702H	MSR_PMON_GLOBAL_CONFIG
703H	MSR_U_PMON_UCLK_FIXED_CTL
704H	MSR_U_PMON_UCLK_FIXED_CTR
705H	MSR_U_PMON_EVNTSEL0
706H	MSR_U_PMON_EVNTSEL1
708H	MSR_U_PMON_BOX_STATUS
709H	MSR_U_PMON_CTR0
70AH	MSR_U_PMON_CTR1
710H	MSR_PCU_PMON_BOX_CTL
711H	MSR_PCU_PMON_EVNTSEL0
712H	MSR_PCU_PMON_EVNTSEL1
713H	MSR_PCU_PMON_EVNTSEL2
714H	MSR_PCU_PMON_EVNTSEL3
715H	MSR_PCU_PMON_BOX_FILTER
716H	MSR_PCU_PMON_BOX_STATUS
717H	MSR_PCU_PMON_CTR0
718H	MSR_PCU_PMON_CTR1
719H	MSR_PCU_PMON_CTR2
71AH	MSR_PCU_PMON_CTR3
720H	MSR_S0_PMON_BOX_CTL
721H	MSR_S0_PMON_EVNTSEL0
722H	MSR_S0_PMON_EVNTSEL1
723H	MSR_S0_PMON_EVNTSEL2
724H	MSR_S0_PMON_EVNTSEL3
725H	MSR_S0_PMON_BOX_FILTER
726H	MSR_S0_PMON_CTR0
727H	MSR_S0_PMON_CTR1
728H	MSR_S0_PMON_CTR2
729H	MSR_S0_PMON_CTR3
72AH	MSR_S1_PMON_BOX_CTL
72BH	MSR_S1_PMON_EVNTSEL0
72CH	MSR_S1_PMON_EVNTSEL1
72DH	MSR_S1_PMON_EVNTSEL2
72EH	MSR_S1_PMON_EVNTSEL3
72FH	MSR_S1_PMON_BOX_FILTER
730H	MSR_S1_PMON_CTR0
731H	MSR_S1_PMON_CTR1
732H	MSR_S1_PMON_CTR2
733H	MSR_S1_PMON_CTR3
734H	MSR_S2_PMON_BOX_CTL
735H	MSR_S2_PMON_EVNTSEL0
736H	MSR_S2_PMON_EVNTSEL1
737H	MSR_S2_PMON_EVNTSEL2
738H	MSR_S2_PMON_EVNTSEL3
739H	MSR_S2_PMON_BOX_FILTER
73AH	MSR_S2_PMON_CTR0
73BH	MSR_S2_PMON_CTR1
73CH	MSR_S2_PMON_CTR2
73DH	MSR_S2_PMON_CTR3
73EH	MSR_S3_PMON_BOX_CTL
73FH	MSR_S3_PMON_EVNTSEL0
740H	MSR_S3_PMON_EVNTSEL1
741H	MSR_S3_PMON_EVNTSEL2
742H	MSR_S3_PMON_EVNTSEL3
743H	MSR_S3_PMON_BOX_FILTER
744H	MSR_S3_PMON_CTR0
745H	MSR_S3_PMON_CTR1
746H	MSR_S3_PMON_CTR2
747H	MSR_S3_PMON_CTR3
E00H	MSR_C0_PMON_BOX_CTL
E01H	MSR_C0_PMON_EVNTSEL0
E02H	MSR_C0_PMON_EVNTSEL1
E03H	MSR_C0_PMON_EVNTSEL2
E04H	MSR_C0_PMON_EVNTSEL3
E05H	MSR_C0_PMON_BOX_FILTER0
E06H	MSR_C0_PMON_BOX_FILTER1
E07H	MSR_C0_PMON_BOX_STATUS
E08H	MSR_C0_PMON_CTR0
E09H	MSR_C0_PMON_CTR1
E0AH	MSR_C0_PMON_CTR2
E0BH	MSR_C0_PMON_CTR3
E10H	MSR_C1_PMON_BOX_CTL
E11H	MSR_C1_PMON_EVNTSEL0
E12H	MSR_C1_PMON_EVNTSEL1
E13H	MSR_C1_PMON_EVNTSEL2
E14H	MSR_C1_PMON_EVNTSEL3
E15H	MSR_C1_PMON_BOX_FILTER0
E16H	MSR_C1_PMON_BOX_FILTER1
E17H	MSR_C1_PMON_BOX_STATUS
E18H	MSR_C1_PMON_CTR0
E19H	MSR_C1_PMON_CTR1
E1AH	MSR_C1_PMON_CTR2
E1BH	MSR_C1_PMON_CTR3
E20H	MSR_C2_PMON_BOX_CTL
E21H	MSR_C2_PMON_EVNTSEL0
E22H	MSR_C2_PMON_EVNTSEL1
E23H	MSR_C2_PMON_EVNTSEL2
E24H	MSR_C2_PMON_EVNTSEL3
E25H	MSR_C2_PMON_BOX_FILTER0
E26H	MSR_C2_PMON_BOX_FILTER1
E27H	MSR_C2_PMON_BOX_STATUS
E28H	MSR_C2_PMON_CTR0
E29H	MSR_C2_PMON_CTR1
E2AH	MSR_C2_PMON_CTR2
E2BH	MSR_C2_PMON_CTR3
E30H	MSR_C3_PMON_BOX_CTL
E31H	MSR_C3_PMON_EVNTSEL0
E32H	MSR_C3_PMON_EVNTSEL1
E33H	MSR_C3_PMON_EVNTSEL2
E34H	MSR_C3_PMON_EVNTSEL3
E35H	MSR_C3_PMON_BOX_FILTER0
E36H	MSR_C3_PMON_BOX_FILTER1
E37H	MSR_C3_PMON_BOX_STATUS
E38H	MSR_C3_PMON_CTR0
E39H	MSR_C3_PMON_CTR1
E3AH	MSR_C3_PMON_CTR2
E3BH	MSR_C3_PMON_CTR3
E40H	MSR_C4_PMON_BOX_CTL
E41H	MSR_C4_PMON_EVNTSEL0
E42H	MSR_C4_PMON_EVNTSEL1
E43H	MSR_C4_PMON_EVNTSEL2
E44H	MSR_C4_PMON_EVNTSEL3
E45H	MSR_C4_PMON_BOX_FILTER0
E46H	MSR_C4_PMON_BOX_FILTER1
E47H	MSR_C4_PMON_BOX_STATUS
E48H	MSR_C4_PMON_CTR0
E49H	MSR_C4_PMON_CTR1
E4AH	MSR_C4_PMON_CTR2
E4BH	MSR_C4_PMON_CTR3
E50H	MSR_C5_PMON_BOX_CTL
E51H	MSR_C5_PMON_EVNTSEL0
E52H	MSR_C5_PMON_EVNTSEL1
E53H	MSR_C5_PMON_EVNTSEL2
E54H	MSR_C5_PMON_EVNTSEL3
E55H	MSR_C5_PMON_BOX_FILTER0
E56H	MSR_C5_PMON_BOX_FILTER1
E57H	MSR_C5_PMON_BOX_STATUS
E58H	MSR_C5_PMON_CTR0
E59H	MSR_C5_PMON_CTR1
E5AH	MSR_C5_PMON_CTR2
E5BH	MSR_C5_PMON_CTR3
