0H	IA32_P5_MC_ADDR
1H	IA32_P5_MC_TYPE
6H	IA32_MONITOR_FILTER_SIZE
10H	IA32_TIME_STAMP_COUNTER
17H	IA32_PLATFORM_ID
1BH	IA32_APIC_BASE
34H	MSR_SMI_COUNT
3AH	IA32_FEATURE_CONTROL
79H	IA32_BIOS_UPDT_TRIG
8BH	IA32_BIOS_SIGN_ID
C1H	IA32_PMC0
C2H	IA32_PMC1
C3H	IA32_PMC2
C4H	IA32_PMC3
C5H	IA32_PMC4
C6H	IA32_PMC5
C7H	IA32_PMC6
C8H	IA32_PMC7
CEH	MSR_PLATFORM_INFO
E2H	MSR_PKG_CST_CONFIG_CONTROL
E4H	MSR_PMG_IO_CAPTURE_BASE
E7H	IA32_MPERF
E8H	IA32_APERF
FEH	IA32_MTRRCAP
13CH	MSR_FEATURE_CONFIG
174H	IA32_SYSENTER_CS
175H	IA32_SYSENTER_ESP
176H	IA32_SYSENTER_EIP
179H	IA32_MCG_CAP
17AH	IA32_MCG_STATUS
186H	IA32_PERFEVTSEL0
187H	IA32_PERFEVTSEL1
188H	IA32_PERFEVTSEL2
189H	IA32_PERFEVTSEL3
18AH	IA32_PERFEVTSEL4
18BH	IA32_PERFEVTSEL5
18CH	IA32_PERFEVTSEL6
18DH	IA32_PERFEVTSEL7
198H	IA32_PERF_STATUS
198H	MSR_PERF_STATUS
199H	IA32_PERF_CTL
19AH	IA32_CLOCK_MODULATION
19BH	IA32_THERM_INTERRUPT
19CH	IA32_THERM_STATUS
1A0H	IA32_MISC_ENABLE
1A2H	MSR_TEMPERATURE_TARGET
1A4H	MSR_MISC_FEATURE_CONTROL
1A6H	MSR_OFFCORE_RSP_0
1A7H	MSR_OFFCORE_RSP_1
1AAH	MSR_MISC_PWR_MGMT
1B0H	IA32_ENERGY_PERF_BIAS
1B1H	IA32_PACKAGE_THERM_STATUS
1B2H	IA32_PACKAGE_THERM_INTERRUPT
1C8H	MSR_LBR_SELECT
1C9H	MSR_LASTBRANCH_TOS
1D9H	IA32_DEBUGCTL
1DDH	MSR_LER_FROM_LIP
1DEH	MSR_LER_TO_LIP
1F2H	IA32_SMRR_PHYSBASE
1F3H	IA32_SMRR_PHYSMASK
1FCH	MSR_POWER_CTL
200H	IA32_MTRR_PHYSBASE0
201H	IA32_MTRR_PHYSMASK0
202H	IA32_MTRR_PHYSBASE1
203H	IA32_MTRR_PHYSMASK1
204H	IA32_MTRR_PHYSBASE2
205H	IA32_MTRR_PHYSMASK2
206H	IA32_MTRR_PHYSBASE3
207H	IA32_MTRR_PHYSMASK3
208H	IA32_MTRR_PHYSBASE4
209H	IA32_MTRR_PHYSMASK4
20AH	IA32_MTRR_PHYSBASE5
20BH	IA32_MTRR_PHYSMASK5
20CH	IA32_MTRR_PHYSBASE6
20DH	IA32_MTRR_PHYSMASK6
20EH	IA32_MTRR_PHYSBASE7
20FH	IA32_MTRR_PHYSMASK7
210H	IA32_MTRR_PHYSBASE8
211H	IA32_MTRR_PHYSMASK8
