33H	MSR_MEMORY_CTRL
48H	IA32_SPEC_CTRL
49H	IA32_PREDICT_CMD
8CH	IA32_SGXLEPUBKEYHASH0
8DH	IA32_SGXLEPUBKEYHASH1
8EH	IA32_SGXLEPUBKEYHASH2
8FH	IA32_SGXLEPUBKEYHASH3
A0H	MSR_BIOS_MCU_ERRORCODE
A5H	MSR_FIT_BIOS_ERROR
10BH	IA32_FLUSH_CMD
151H	MSR_BIOS_DONE
1F1H	MSR_CRASHLOG_CONTROL
2A0H	MSR_PRMRR_BASE_0
30CH	IA32_FIXED_CTR3
329H	MSR_PERF_METRICS
3F2H	MSR_PEBS_DATA_CFG
541H	MSR_CORE_UARCH_CTL
657H	MSR_FAST_UNCORE_MSRS_CTL
65EH	MSR_FAST_UNCORE_MSRS_STATUS
65FH	MSR_FAST_UNCORE_MSRS_CAPABILITY
772H	IA32_HWP_REQUEST_PKG
775H	IA32_PECI_HWP_REQUEST_INFO
777H	IA32_HWP_STATUS
