33H	MSR_MEMORY_CTRL
1609H	IA32_LBR_9_TO_IP
160AH	IA32_LBR_10_TO_IP
160BH	IA32_LBR_11_TO_IP
160CH	IA32_LBR_12_TO_IP
160DH	IA32_LBR_13_TO_IP
160EH	IA32_LBR_14_TO_IP
160FH	IA32_LBR_15_TO_IP
1610H	IA32_LBR_16_TO_IP
1611H	IA32_LBR_17_TO_IP
1612H	IA32_LBR_18_TO_IP
1613H	IA32_LBR_19_TO_IP
1614H	IA32_LBR_20_TO_IP
1615H	IA32_LBR_21_TO_IP
1616H	IA32_LBR_22_TO_IP
1617H	IA32_LBR_23_TO_IP
1618H	IA32_LBR_24_TO_IP
1619H	IA32_LBR_25_TO_IP
161AH	IA32_LBR_26_TO_IP
161BH	IA32_LBR_27_TO_IP
161CH	IA32_LBR_28_TO_IP
161DH	IA32_LBR_29_TO_IP
161EH	IA32_LBR_30_TO_IP
161FH	IA32_LBR_31_TO_IP
