3AH	IA32_FEATURE_CONTROL
179H	IA32_MCG_CAP
17AH	IA32_MCG_STATUS
1AEH	MSR_TURBO_RATIO_LIMIT1
29DH	IA32_MC29_CTL2
29EH	IA32_MC30_CTL2
29FH	IA32_MC31_CTL2
3F1H	IA32_PEBS_ENABLE
41BH	IA32_MC6_MISC
474H	IA32_MC29_CTL
475H	IA32_MC29_STATUS
476H	IA32_MC29_ADDR
477H	IA32_MC29_MISC
478H	IA32_MC30_CTL
479H	IA32_MC30_STATUS
47AH	IA32_MC30_ADDR
47BH	IA32_MC30_MISC
47CH	IA32_MC31_CTL
47DH	IA32_MC31_STATUS
47EH	IA32_MC31_ADDR
47FH	IA32_MC31_MISC
